Date,AIR.PA,ASML.AS,BNP.PA,DHL.DE,ENEL.MI,MC.PA,OR.PA,SAN.MC,SAP.DE,SHELL.AS
2024-04-15,157.264892578125,895.2686767578125,55.98995590209961,35.376220703125,5.184736251831055,761.7421875,401.875244140625,4.1593017578125,167.99703979492188,31.16851043701172
2024-04-16,155.5044708251953,897.7256469726562,54.338443756103516,34.6866569519043,5.1368608474731445,749.2828979492188,401.53668212890625,4.0537028312683105,166.74435424804688,30.63774871826172
2024-04-17,156.38467407226562,837.7724609375,54.61085510253906,34.75016784667969,5.129767894744873,770.5596313476562,404.5837097167969,4.110456943511963,165.15890502929688,30.68349838256836
2024-04-18,157.1279754638672,825.880126953125,55.72605514526367,34.74109649658203,5.206014633178711,763.6589965820312,409.7589416503906,4.228150844573975,165.5699462890625,30.62860107421875
2024-04-19,156.5216064453125,806.9112548828125,55.70051956176758,34.786460876464844,5.279600143432617,763.4673461914062,430.4113464355469,4.197448253631592,162.2620849609375,30.624021530151367
2024-04-22,157.89083862304688,799.2453002929688,56.713565826416016,35.06772994995117,5.36293888092041,763.6589965820312,426.5903625488281,4.342123508453369,162.55567932128906,31.03582000732422
2024-04-23,159.14268493652344,819.983154296875,57.9309196472168,35.43065643310547,5.425886154174805,773.6244506835938,426.3002014160156,4.417019844055176,171.12875366210938,31.00379180908203
2024-04-24,158.6536865234375,820.4744262695312,57.658512115478516,34.877193450927734,5.397516250610352,774.2050170898438,425.8648986816406,4.4467926025390625,171.81381225585938,31.127328872680664
2024-04-25,155.0350341796875,819.3933715820312,58.194828033447266,34.47797775268555,5.372691631317139,752.7261352539062,421.5119323730469,4.417485237121582,166.56817626953125,31.150209426879883
2024-04-26,153.60711669921875,845.838134765625,57.045570373535156,35.24011993408203,5.434752464294434,766.46484375,427.896240234375,4.512849807739258,170.28709411621094,31.154783248901367
2024-04-29,152.4726104736328,834.9057006835938,57.649993896484375,35.294559478759766,5.496813774108887,753.8871459960938,428.7311096191406,4.508105754852295,167.7621612548828,31.127328872680664
2024-04-30,151.27943420410156,820.132080078125,57.55635070800781,35.62118911743164,5.479969024658203,749.2431030273438,431.8250427246094,4.339662075042725,166.078857421875,30.871103286743164
2024-05-02,150.20362854003906,799.153564453125,57.420143127441406,35.85709762573242,5.534050464630127,742.08349609375,428.9275817871094,4.332544803619385,164.943603515625,30.884828567504883
2024-05-03,150.94691467285156,823.2837524414062,57.58189010620117,36.111141204833984,5.54114294052124,756.59619140625,433.05279541015625,4.299330234527588,167.0771026611328,30.633169174194336
2024-05-06,153.21591186523438,833.822265625,58.08415603637695,36.55836868286133,5.607635974884033,756.3059692382812,435.11541748046875,4.337289333343506,167.82086181640625,30.903125762939453
2024-05-07,155.3675537109375,841.3075561523438,59.25043487548828,36.72013473510742,5.659945011138916,763.7557983398438,436.9815979003906,4.486753463745117,170.63941955566406,31.00836181640625
2024-05-08,157.9690704345703,832.2463989257812,59.539878845214844,36.45370101928711,5.714912414550781,762.3045043945312,439.09332275390625,4.52803373336792,172.69461059570312,30.903125762939453
2024-05-09,158.8688507080078,835.1026611328125,60.110252380371094,37.081722259521484,5.769880771636963,763.3688354492188,445.7723388671875,4.526609897613525,173.98643493652344,31.077003479003906
2024-05-10,156.3260040283203,851.4521484375,60.61251449584961,37.66216278076172,5.988866806030273,762.7882690429688,445.37945556640625,4.492921352386475,172.3031463623047,31.484224319458008
2024-05-13,154.48733520507812,840.125732421875,60.97857666015625,37.66216278076172,5.986207008361816,757.1766967773438,447.4420471191406,4.5128493309021,172.909912109375,31.420162200927734
2024-05-14,155.2110595703125,828.0113525390625,60.88492965698242,37.48136901855469,5.952517032623291,766.1746215820312,448.7680358886719,4.510003089904785,170.95257568359375,31.058692932128906
2024-05-15,156.48248291015625,838.1558227539062,61.080726623535156,37.82392501831055,6.0659990310668945,763.3688354492188,448.6697998046875,4.56646728515625,172.34230041503906,30.7658634185791
2024-05-16,155.46536254882812,846.1336669921875,60.9615478515625,38.328243255615234,6.045608043670654,760.4662475585938,445.4285583496094,4.559349536895752,175.1568603515625,30.62162971496582
2024-05-17,155.46536254882812,840.125732421875,61.55746078491211,38.033267974853516,6.028763294219971,757.7572021484375,439.6335754394531,4.612492084503174,175.43434143066406,30.418230056762695
2024-05-20,157.40182495117188,851.6491088867188,62.059730529785156,37.947628021240234,5.9941864013671875,753.7903442382812,440.910400390625,4.629099369049072,177.77320861816406,30.436717987060547
2024-05-21,157.79302978515625,840.815185546875,62.096065521240234,37.28154373168945,5.971135139465332,743.147705078125,439.5844421386719,4.594936370849609,178.3876495361328,30.47369956970215
2024-05-22,156.87368774414062,841.2090454101562,61.350990295410156,37.205421447753906,5.917053699493408,727.4740600585938,445.330322265625,4.559823989868164,177.7137451171875,30.145479202270508
2024-05-23,157.73434448242188,863.1725463867188,60.96027755737305,36.748680114746094,5.856766223907471,728.3447875976562,442.9239501953125,4.539421558380127,179.7354736328125,30.265674591064453
2024-05-24,155.621826171875,867.2105712890625,61.069313049316406,37.05317306518555,5.812437534332275,725.6357421875,439.38800048828125,4.510003089904785,178.44711303710938,30.228689193725586
2024-05-27,155.95436096191406,869.2789916992188,60.933021545410156,37.14833068847656,5.905527591705322,731.6343383789062,441.3524169921875,4.516645908355713,178.8038787841797,30.371994018554688
